,vectorized
0,"  (0, 30)	0.582395312959625
  (0, 128)	0.25437170277575466
  (0, 150)	0.17831806689820354
  (0, 200)	0.21937175576711426
  (0, 199)	0.15972949099018593
  (0, 79)	0.16387011818439537
  (0, 91)	0.30184050234617
  (0, 10)	0.2863387482968597
  (0, 167)	0.2503443897643716
  (0, 75)	0.12074180624043407"
702,"  (0, 84)	0.4453781656193146
  (0, 41)	0.3128453974168026
  (0, 110)	0.4013911706663747
  (0, 186)	0.36335443233344356
  (0, 117)	0.24096969635945673
  (0, 116)	0.36111738881662003
  (0, 167)	0.183918810208651
  (0, 17)	0.16640549357897347
  (0, 156)	0.1924819350176566
  (0, 81)	0.3035001797309484
  (0, 75)	0.17740912322489366"
703,"  (0, 33)	0.34587204687070894
  (0, 132)	0.3099382303113542
  (0, 109)	0.3203135801013468
  (0, 63)	0.5196379274010833
  (0, 41)	0.2429496690933819
  (0, 74)	0.2851699983153707
  (0, 128)	0.2902509301686107
  (0, 17)	0.129227279461843
  (0, 177)	0.30735917616762376
  (0, 75)	0.2755449697360322"
704,"  (0, 95)	0.35356935288205893
  (0, 113)	0.42825778335254316
  (0, 10)	0.24998166196764982
  (0, 120)	0.4273934040907204
  (0, 75)	0.21082188542409497
  (0, 30)	0.36925064501411053
  (0, 172)	0.36158134850713797
  (0, 130)	0.36728061848512894"
705,"  (0, 14)	0.5937305516714912
  (0, 168)	0.6573116249077029
  (0, 66)	0.4641394831007828"
706,"  (0, 90)	0.40382196352604
  (0, 187)	0.2988846057759968
  (0, 141)	0.2627883832584089
  (0, 152)	0.39614044151459554
  (0, 105)	0.22264592891430413
  (0, 119)	0.276614170997026
  (0, 77)	0.22967957615524665
  (0, 66)	0.23952265306054737
  (0, 167)	0.5085852735992147
  (0, 75)	0.1635280759156145"
707,"  (0, 186)	0.4612552931973342
  (0, 88)	0.4443680708445368
  (0, 117)	0.3058956711554708
  (0, 17)	0.21124116812748694
  (0, 81)	0.38527413437129904
  (0, 177)	0.5024241915386131
  (0, 75)	0.22520957463891794"
708,"  (0, 28)	0.33498544029732535
  (0, 48)	0.5165834821482874
  (0, 193)	0.32747451363431657
  (0, 0)	0.23010879858470892
  (0, 122)	0.3971504887374088
  (0, 27)	0.5194124883621087
  (0, 17)	0.18226025546823574"
709,"  (0, 71)	0.574609151733933
  (0, 56)	0.4191998383398574
  (0, 193)	0.3967624459769355
  (0, 199)	0.3114445654401412
  (0, 89)	0.43693787076674623
  (0, 17)	0.22082336717265819"
710,"  (0, 81)	1.0"
711,"  (0, 37)	0.32380459171582865
  (0, 5)	0.6601669121460596
  (0, 114)	0.2338018858903939
  (0, 134)	0.20763496360303804
  (0, 113)	0.2715286874721388
  (0, 49)	0.23103621210632141
  (0, 155)	0.21023405925410926
  (0, 79)	0.18141293391814392
  (0, 120)	0.2709806442711407
  (0, 17)	0.2507539911700446
  (0, 156)	0.14502409865123964"
712,"  (0, 34)	0.6178850422548857
  (0, 22)	0.6390253511714681
  (0, 63)	0.45810989414971176"
713,"  (0, 12)	0.3745819526879868
  (0, 101)	0.29566606063460527
  (0, 184)	0.27923752306802596
  (0, 14)	0.25808145825138407
  (0, 141)	0.2213479431665676
  (0, 96)	0.267853906839883
  (0, 197)	0.2915139820291672
  (0, 117)	0.37417789809155877
  (0, 10)	0.16332554370787183
  (0, 119)	0.2329934719401555
  (0, 156)	0.448329107063733"
714,"  (0, 179)	0.6541955302863435
  (0, 114)	0.4393998172094652
  (0, 134)	0.3902225369398416
  (0, 199)	0.33232686433459735
  (0, 79)	0.34094168958258325"
715,"  (0, 18)	0.4648594703695072
  (0, 25)	0.3383089634928119
  (0, 56)	0.3378336895401428
  (0, 0)	0.22468192071504045
  (0, 99)	0.3042253680938479
  (0, 117)	0.2577042900120636
  (0, 10)	0.22497156297442408
  (0, 66)	0.27790056779741895
  (0, 17)	0.17796183596839826
  (0, 156)	0.20584920491363143
  (0, 75)	0.3794592667298243"
716,"  (0, 143)	0.44633728796672645
  (0, 125)	0.3693080524026949
  (0, 50)	0.46546821319148546
  (0, 155)	0.28651910242770273
  (0, 181)	0.3787004291742735
  (0, 89)	0.33809832943811635
  (0, 167)	0.18885428964415982
  (0, 156)	0.19764720675309708
  (0, 75)	0.18216991456730594"
717,"  (0, 135)	0.5014852705201942
  (0, 132)	0.4353385164910923
  (0, 49)	0.33447860441486355
  (0, 146)	0.44301566845302087
  (0, 10)	0.4589198988332067
  (0, 167)	0.20061556933436223"
718,"  (0, 157)	0.40352579987621684
  (0, 166)	0.3332152081844109
  (0, 94)	0.3169196392000397
  (0, 176)	0.44788857691771117
  (0, 4)	0.2970491662200599
  (0, 96)	0.3202735857813577
  (0, 105)	0.22423697345756438
  (0, 167)	0.17073988739743262
  (0, 156)	0.3573788224670538
  (0, 75)	0.16469665983773746"
719,"  (0, 193)	0.4888616316731326
  (0, 30)	0.5080591548057878
  (0, 172)	0.4975068203578993
  (0, 130)	0.5053485569320288"
720,"  (0, 107)	0.3910863720738453
  (0, 7)	0.406084372240377
  (0, 0)	0.3879144583219255
  (0, 26)	0.3653900382959524
  (0, 160)	0.37608837190731353
  (0, 117)	0.2224638719241956
  (0, 136)	0.38577735229697435
  (0, 156)	0.1776998402139906
  (0, 75)	0.16378457981875494"
721,"  (0, 114)	0.6433374817248028
  (0, 10)	0.43612346249150785
  (0, 81)	0.6292163459990591"
722,"  (0, 139)	0.31193021427445855
  (0, 78)	0.31193021427445855
  (0, 126)	0.28023369405936194
  (0, 163)	0.2551480508293814
  (0, 198)	0.31696608478763594
  (0, 95)	0.1988655672786675
  (0, 141)	0.19055243767545446
  (0, 197)	0.25095647647529845
  (0, 110)	0.5365652392538309
  (0, 167)	0.12292801587918901
  (0, 58)	0.2183762844609101
  (0, 156)	0.1286514540707623
  (0, 81)	0.20285404669036866
  (0, 75)	0.118577058497505"
723,"  (0, 101)	0.3398215765450711
  (0, 123)	0.41645482756754637
  (0, 175)	0.3991431670233834
  (0, 25)	0.2822860827333778
  (0, 0)	0.18747531429508732
  (0, 52)	0.23733677092567526
  (0, 186)	0.3242392921971031
  (0, 79)	0.2148588409069613
  (0, 10)	0.1877169927240338
  (0, 77)	0.22235207221662864
  (0, 167)	0.16411993232288855
  (0, 17)	0.2969838518785001
  (0, 156)	0.1717612359096836"
724,"  (0, 55)	0.48003524093799144
  (0, 200)	0.3428860362488192
  (0, 199)	0.2496630062796657
  (0, 117)	0.2563381450292607
  (0, 10)	0.6713368233159541
  (0, 17)	0.17701842261145634
  (0, 156)	0.20475795471172925"
725,"  (0, 55)	0.7100536873426968
  (0, 4)	0.5034871236280123
  (0, 41)	0.492264641663232"
726,"  (0, 94)	0.5582902388443963
  (0, 187)	0.5302820097046708
  (0, 174)	0.5682749386197035
  (0, 75)	0.2901320277587683"
727,"  (0, 40)	0.34942153964934947
  (0, 59)	0.3453868675036887
  (0, 5)	0.3172941664794255
  (0, 87)	0.32537141157082283
  (0, 95)	0.43097630619535227
  (0, 99)	0.2060272833531918
  (0, 141)	0.20648015352705285
  (0, 122)	0.26261487094368646
  (0, 105)	0.17493910885395944
  (0, 119)	0.21734346011429617
  (0, 116)	0.2615392837964086
  (0, 75)	0.2569771296765203"
728,"  (0, 10)	0.5740049900834135
  (0, 119)	0.81885180060823"
729,"  (0, 85)	0.36849532829430076
  (0, 3)	0.3468200449825905
  (0, 52)	0.2162083746168274
  (0, 152)	0.6987236813337588
  (0, 200)	0.26202435186352185
  (0, 105)	0.19635458385690366
  (0, 117)	0.19588676472216887
  (0, 77)	0.20255765652805546
  (0, 167)	0.14950950782450692"
730,"  (0, 54)	0.5025765883141308
  (0, 183)	0.5810339825695898
  (0, 0)	0.275241963431852
  (0, 119)	0.39315498382569036
  (0, 66)	0.34043637189838116
  (0, 156)	0.2521713324819409"
731,"  (0, 80)	0.3717900965384017
  (0, 84)	0.34321447439754654
  (0, 176)	0.3717900965384017
  (0, 105)	0.5584140139250569
  (0, 10)	0.16210823619929318
  (0, 89)	0.2537341908786369
  (0, 57)	0.3578099897044921
  (0, 66)	0.20024740144399136
  (0, 17)	0.12823433752338148
  (0, 75)	0.13671388424776626"
732,"  (0, 148)	0.3171747863182753
  (0, 53)	0.3436387715252196
  (0, 28)	0.22402944441582448
  (0, 125)	0.2634459688220009
  (0, 187)	0.23751478835626455
  (0, 99)	0.208372159579423
  (0, 27)	0.34736939935993155
  (0, 105)	0.17693015853783312
  (0, 91)	0.3248622752067347
  (0, 10)	0.3081781819488371
  (0, 77)	0.1825195907251072
  (0, 136)	0.30608577888824984
  (0, 17)	0.12189086109352648
  (0, 75)	0.25990188581685447"
733,"  (0, 151)	0.4355577228500001
  (0, 95)	0.3101279597644326
  (0, 118)	0.4724929959981865
  (0, 99)	0.2965119897480947
  (0, 141)	0.2971637550588031
  (0, 160)	0.42461848494468546
  (0, 105)	0.25177026268954317
  (0, 167)	0.1917044528331084
  (0, 75)	0.18491919807901197"
734,"  (0, 131)	0.20380010905600973
  (0, 5)	0.22434206969811277
  (0, 71)	0.2217340215543265
  (0, 175)	0.22905020342160692
  (0, 184)	0.3683453833594475
  (0, 14)	0.17021908917021275
  (0, 114)	0.1589040529446233
  (0, 159)	0.20212034560881287
  (0, 134)	0.14111963692628063
  (0, 0)	0.10758360013038573
  (0, 190)	0.20614054106293567
  (0, 83)	0.19053126399166243
  (0, 52)	0.13619683399658072
  (0, 160)	0.20860754297219913
  (0, 49)	0.15702435564561246
  (0, 155)	0.2857722379377148
  (0, 181)	0.18885663859081234
  (0, 117)	0.1233955771799973
  (0, 120)	0.18417269167972375
  (0, 119)	0.1536721655440588
  (0, 124)	0.2321274425431451
  (0, 167)	0.09418100318349108
  (0, 17)	0.34085118977731466
  (0, 156)	0.09856600156393215"
735,"  (0, 39)	0.6140534933469557
  (0, 45)	0.5428924009518685
  (0, 150)	0.3392593008492529
  (0, 119)	0.3885761869078315
  (0, 156)	0.24923447203900528"
736,"  (0, 94)	0.6884491518424481
  (0, 41)	0.6309011634818719
  (0, 75)	0.35777295488149213"
737,"  (0, 53)	0.38672889653527487
  (0, 73)	0.3516976600065178
  (0, 195)	0.3789899096382113
  (0, 113)	0.2970800394720382
  (0, 0)	0.17318762696751402
  (0, 79)	0.19848422673449728
  (0, 10)	0.17341088683378417
  (0, 77)	0.20540639114702
  (0, 66)	0.21420922394018832
  (0, 167)	0.4548365483308043
  (0, 17)	0.2743504058009034
  (0, 156)	0.15867113472541572"
738,"  (0, 40)	0.3481025555690804
  (0, 148)	0.31242173351418595
  (0, 20)	0.3160964556721049
  (0, 55)	0.3255879940069208
  (0, 161)	0.3460614274596063
  (0, 187)	0.23395548799726126
  (0, 176)	0.3481025555690804
  (0, 141)	0.20570073953996146
  (0, 164)	0.21187353458519112
  (0, 77)	0.17978442610951045
  (0, 167)	0.13270039515105353
  (0, 17)	0.24012850809750624
  (0, 156)	0.13887882814870992
  (0, 75)	0.25600710148828465"
739,"  (0, 102)	0.652024651612325
  (0, 164)	0.4223819364519694
  (0, 174)	0.49981981845395096
  (0, 167)	0.26454578190513256
  (0, 156)	0.2768628393370485"
740,"  (0, 43)	0.25531954690053626
  (0, 67)	0.49150660818403685
  (0, 126)	0.24237440480325495
  (0, 20)	0.2532588823188563
  (0, 138)	0.2585738760078437
  (0, 72)	0.27414428661439827
  (0, 32)	0.2756820051315602
  (0, 163)	0.22067780665726125
  (0, 151)	0.2415632109528032
  (0, 3)	0.24663383399403147
  (0, 0)	0.12145070410344642
  (0, 196)	0.24575330409201843
  (0, 76)	0.20545852041597593
  (0, 141)	0.16480899565065946
  (0, 79)	0.1391903654575424
  (0, 167)	0.10632056499263119
  (0, 17)	0.09619639271873631"
741,"  (0, 0)	0.3932284438607661
  (0, 164)	0.5496252284932738
  (0, 77)	0.46638225238197534
  (0, 167)	0.34424065822491523
  (0, 17)	0.3114610005190936
  (0, 75)	0.332056483427435"
742,"  (0, 195)	0.48375265464735556
  (0, 134)	0.28997059031245015
  (0, 141)	0.2999807947094404
  (0, 197)	0.39507300021404185
  (0, 105)	0.2541569831450962
  (0, 117)	0.2535514485168423
  (0, 66)	0.2734222682338352
  (0, 167)	0.19352176411566277
  (0, 17)	0.17509402458295045
  (0, 156)	0.4050639908202403"
743,"  (0, 13)	0.5659833038057276
  (0, 35)	0.4797135750532177
  (0, 114)	0.437555972051628
  (0, 0)	0.2962406927925836
  (0, 79)	0.33951100240698523
  (0, 17)	0.2346407641974075"
744,"  (0, 108)	0.5776541053112809
  (0, 105)	0.3610023799057816
  (0, 10)	0.31439822932950645
  (0, 116)	0.539709528120305
  (0, 167)	0.27487663940925827
  (0, 75)	0.2651475590630369"
745,"  (0, 101)	0.3951121001170255
  (0, 112)	0.49479106883298324
  (0, 196)	0.4410753612405677
  (0, 120)	0.3731578928405788
  (0, 77)	0.258529770569858
  (0, 17)	0.17265224093413997
  (0, 177)	0.41064278964938083"
746,"  (0, 19)	0.334871002711688
  (0, 139)	0.3331283475952745
  (0, 105)	0.6896635014323911
  (0, 17)	0.47512351059356156
  (0, 156)	0.2747886825263637"
747,"  (0, 62)	0.42906719596411846
  (0, 107)	0.7579207577361299
  (0, 133)	0.3738159701396494
  (0, 119)	0.2684579272191267
  (0, 156)	0.1721900929843013"
748,"  (0, 33)	0.3087077128971566
  (0, 55)	0.3127813664992616
  (0, 108)	0.2679012490069132
  (0, 168)	0.5101543201033822
  (0, 95)	0.2062307533599307
  (0, 0)	0.2912443195465745
  (0, 99)	0.19717632383887587
  (0, 122)	0.2513329011348861
  (0, 49)	0.21254378714237282
  (0, 10)	0.14580988440746712
  (0, 174)	0.24085592702684985
  (0, 167)	0.1274807784511128
  (0, 81)	0.21036695011380657
  (0, 75)	0.24593735798291974"
749,"  (0, 24)	0.23699071269891053
  (0, 85)	0.22266887041849023
  (0, 15)	0.20665222586953685
  (0, 28)	0.15023523445436862
  (0, 82)	0.21785422094103976
  (0, 108)	0.37971378046355536
  (0, 50)	0.22266887041849023
  (0, 187)	0.15927857165440815
  (0, 25)	0.1553905018726075
  (0, 93)	0.21606747553135486
  (0, 0)	0.10319985631227105
  (0, 164)	0.1442450196359366
  (0, 122)	0.3562303886173294
  (0, 150)	0.12870156006852823
  (0, 88)	0.1719499793483447
  (0, 105)	0.23730044878067275
  (0, 91)	0.21785422094103976
  (0, 174)	0.17069034753932663
  (0, 167)	0.18068675865284922
  (0, 75)	0.34858293607471535"
750,"  (0, 102)	0.3837039419191679
  (0, 35)	0.28797390874286205
  (0, 163)	0.3231279083389024
  (0, 193)	0.2530813417980516
  (0, 49)	0.25955941950870426
  (0, 105)	0.2044585699051778
  (0, 117)	0.4079428856892309
  (0, 77)	0.21091765704462478
  (0, 17)	0.14085575545541656
  (0, 156)	0.48878533608444946
  (0, 75)	0.15016989847553347"
751,"  (0, 86)	0.5027465853322932
  (0, 45)	0.4830474544675401
  (0, 76)	0.40947481796259155
  (0, 79)	0.27740367954797157
  (0, 17)	0.3834350633637645
  (0, 81)	0.3496657716736421"
752,"  (0, 139)	0.5310724692596269
  (0, 69)	0.23394192725411656
  (0, 14)	0.1891307615021753
  (0, 65)	0.2683535053258392
  (0, 159)	0.22457630966320044
  (0, 9)	0.21667402058656546
  (0, 134)	0.15679830343874582
  (0, 25)	0.17998874916455027
  (0, 112)	0.27133659081210937
  (0, 141)	0.16221120777787856
  (0, 164)	0.16707894204996407
  (0, 49)	0.3489401347688572
  (0, 79)	0.1369963890792142
  (0, 116)	0.20546576695768656
  (0, 167)	0.1046446960676696
  (0, 17)	0.0946801052040687
  (0, 81)	0.17268317486611443
  (0, 75)	0.20188172986155498"
753,"  (0, 191)	0.6370611476049604
  (0, 77)	0.41884198429374797
  (0, 156)	0.6470892414537015"
754,"  (0, 50)	0.5265890540702655
  (0, 134)	0.32013472989492475
  (0, 113)	0.4186470405283166
  (0, 49)	0.35621512906664227
  (0, 10)	0.24437170096440503
  (0, 120)	0.41780205922517877
  (0, 77)	0.2894599647695131"
755,"  (0, 12)	0.3025313477110943
  (0, 123)	0.2926455726183849
  (0, 35)	0.21333172319057064
  (0, 54)	0.4811004354310119
  (0, 28)	0.19178332954724814
  (0, 108)	0.24236249690944553
  (0, 45)	0.2629086446650203
  (0, 114)	0.19458396502484562
  (0, 25)	0.19836430473437444
  (0, 42)	0.21333172319057064
  (0, 76)	0.22286520386214978
  (0, 49)	0.192282205272906
  (0, 150)	0.1642944399661751
  (0, 124)	0.28424874837436004
  (0, 156)	0.12069776097931813
  (0, 75)	0.22249240115530203"
756,"  (0, 111)	0.36998280007081125
  (0, 28)	0.24370664030885222
  (0, 164)	0.4679790229559737
  (0, 122)	0.28893259128308857
  (0, 137)	0.3027178482761005
  (0, 200)	0.25684122854185826
  (0, 199)	0.18701185372212376
  (0, 117)	0.19201191396339076
  (0, 10)	0.16762321027730084
  (0, 77)	0.19855084835902337
  (0, 156)	0.15337540489317555
  (0, 30)	0.2475980759030199
  (0, 172)	0.24245549027914484
  (0, 130)	0.24627709032143721"
757,"  (0, 34)	0.6306415153830431
  (0, 95)	0.4158101752452072
  (0, 79)	0.3364947483086311
  (0, 116)	0.5046713420927428
  (0, 75)	0.2479340599210801"
758,"  (0, 189)	0.38782022582176645
  (0, 80)	0.4634404719154707
  (0, 47)	0.44379083081592036
  (0, 0)	0.4036191086671856
  (0, 117)	0.23147028364222139
  (0, 17)	0.31969104315001745
  (0, 156)	0.18489398778209526
  (0, 81)	0.29153571486015123"
759,"  (0, 126)	0.29543516485774163
  (0, 157)	0.3062873240542976
  (0, 16)	0.3194154225837019
  (0, 13)	0.2828357961164902
  (0, 28)	0.2155103711175015
  (0, 121)	0.2974607047506591
  (0, 114)	0.21865749549252791
  (0, 25)	0.22290553110476852
  (0, 0)	0.1480387700921489
  (0, 164)	0.20691749060393633
  (0, 150)	0.18462061229847135
  (0, 137)	0.2676941249659673
  (0, 10)	0.14822961003026858
  (0, 77)	0.1755789951448181
  (0, 66)	0.1831035542767006
  (0, 58)	0.23022225723885872
  (0, 17)	0.11725576867181751
  (0, 156)	0.13563024128901705
  (0, 75)	0.2500187063025738"
760,"  (0, 104)	0.3095882520829198
  (0, 121)	0.3255964800480249
  (0, 65)	0.363775006729518
  (0, 134)	0.42510571135896824
  (0, 141)	0.21989048784494944
  (0, 164)	0.2264890976355513
  (0, 79)	0.3714194998026897
  (0, 10)	0.3245002683981566
  (0, 89)	0.25395629171081496
  (0, 77)	0.19218640269625512
  (0, 156)	0.14845903491281362
  (0, 75)	0.1368335538411962"
761,"  (0, 19)	0.39601900931451467
  (0, 13)	0.3388325902514907
  (0, 95)	0.25116101582192424
  (0, 0)	0.17734798995282913
  (0, 99)	0.24013395182130365
  (0, 155)	0.23554301920159043
  (0, 117)	0.2034135087078281
  (0, 116)	0.3048356545423142
  (0, 17)	0.2809409301546689
  (0, 156)	0.3249655567180378
  (0, 75)	0.4492773918524983"
762,"  (0, 19)	0.28227833992001616
  (0, 139)	0.2808093748877173
  (0, 127)	0.2885931442477015
  (0, 104)	0.2415164394571509
  (0, 103)	0.27937958696327025
  (0, 191)	0.22804250044314986
  (0, 151)	0.25143084161956775
  (0, 114)	0.1867139184540242
  (0, 25)	0.19034136041802854
  (0, 95)	0.17902502892867878
  (0, 0)	0.12641185148836614
  (0, 83)	0.22387622108215796
  (0, 141)	0.1715412885905759
  (0, 52)	0.16003269951456764
  (0, 105)	0.14533735879735987
  (0, 117)	0.14499108932861768
  (0, 77)	0.14992873721463326
  (0, 167)	0.11066366038158094
  (0, 17)	0.10012592516318203
  (0, 156)	0.11581607918308268
  (0, 81)	0.1826155833511076
  (0, 75)	0.21349358381430208
  (0, 30)	0.18696503774080014
  (0, 172)	0.1830817938514991
  (0, 130)	0.185967541624504"
763,"  (0, 165)	0.540762162765148
  (0, 140)	0.46193604218070444
  (0, 137)	0.43078570752462336
  (0, 199)	0.26612911719595095
  (0, 105)	0.27389706950877174
  (0, 117)	0.2732445036885749
  (0, 156)	0.21826242717449498
  (0, 75)	0.20117080511691848"
764,"  (0, 166)	0.40921509608140044
  (0, 84)	0.5077671444440826
  (0, 99)	0.32431861830741404
  (0, 164)	0.3347852520791772
  (0, 197)	0.42806464393755667
  (0, 10)	0.23983031697677828
  (0, 77)	0.28408066412268923
  (0, 17)	0.18971572658239713"
765,"  (0, 131)	0.1586758703468519
  (0, 171)	0.16393082766182965
  (0, 143)	0.17330300989485226
  (0, 37)	0.17134697606281657
  (0, 69)	0.3278616553236593
  (0, 73)	0.17010033446211664
  (0, 157)	0.17330300989485226
  (0, 192)	0.1791160499253225
  (0, 70)	0.5373481497759676
  (0, 28)	0.12193973777249303
  (0, 82)	0.17682327764629568
  (0, 1)	0.14867851257354173
  (0, 187)	0.2585596824986483
  (0, 140)	0.16241887011422046
  (0, 193)	0.11920564751799481
  (0, 96)	0.13754851963059767
  (0, 160)	0.3248377402284409
  (0, 152)	0.17134697606281657
  (0, 199)	0.09357224068381395
  (0, 10)	0.16774208761725792
  (0, 77)	0.09934582969393922
  (0, 167)	0.07332799142994077
  (0, 81)	0.12100479854697133
  (0, 75)	0.07073259473933026"
766,"  (0, 51)	0.36856799850690936
  (0, 2)	0.3648634962995574
  (0, 5)	0.3459859497294948
  (0, 166)	0.28346593554009597
  (0, 187)	0.25607788463508285
  (0, 9)	0.30074656367470015
  (0, 52)	0.2100461630931175
  (0, 164)	0.23190790270057243
  (0, 17)	0.26283461405661745
  (0, 156)	0.45603285698522045"
767,"  (0, 92)	0.417777922228789
  (0, 7)	0.4617399504395963
  (0, 9)	0.3997550942501893
  (0, 134)	0.2892867377442852
  (0, 79)	0.2527529801682763
  (0, 89)	0.34563726242963283
  (0, 167)	0.19306537177862024
  (0, 58)	0.34297225287125876
  (0, 17)	0.17468109133253923"
768,"  (0, 134)	0.311769545064546
  (0, 0)	0.23767982117597145
  (0, 52)	0.3008938082552407
  (0, 158)	0.4936718484941841
  (0, 79)	0.2723964543111117
  (0, 10)	0.23798621930625366
  (0, 66)	0.2939771791543614
  (0, 58)	0.3696273948858105
  (0, 81)	0.3433541925365399
  (0, 75)	0.2007055360148354"
769,"  (0, 31)	0.35053201393215355
  (0, 15)	0.3705359446555828
  (0, 121)	0.3718120695025316
  (0, 193)	0.263338058932526
  (0, 0)	0.1850415890082349
  (0, 196)	0.37442831006132143
  (0, 190)	0.35455750905410927
  (0, 99)	0.25055129202005433
  (0, 199)	0.20671111431967162
  (0, 120)	0.31677325799691675
  (0, 167)	0.16198939673278934"
770,"  (0, 55)	0.3227203894018403
  (0, 31)	0.28462388282808193
  (0, 15)	0.3008666116175511
  (0, 114)	0.22192278873505383
  (0, 95)	0.42556799195459005
  (0, 193)	0.21382440932853863
  (0, 0)	0.1502494877925639
  (0, 141)	0.4077780752761529
  (0, 52)	0.19021025994811852
  (0, 164)	0.21000746601185707
  (0, 41)	0.22373496494447798
  (0, 167)	0.13153164116983923
  (0, 75)	0.25375232810390264
  (0, 172)	0.21760574998668625"
771,
772,"  (0, 168)	0.5049102027077201
  (0, 141)	0.39115682948040903
  (0, 155)	0.382837091763983
  (0, 17)	0.4566240554377487
  (0, 75)	0.4868185032614953"
773,"  (0, 139)	0.47836604911232783
  (0, 187)	0.6647292572018058
  (0, 134)	0.28247363312986906
  (0, 0)	0.21534586579113915
  (0, 200)	0.33038979238090527
  (0, 79)	0.2468002963054782
  (0, 75)	0.18184592704733524"
774,"  (0, 20)	0.633050694103495
  (0, 141)	0.41195968384553605
  (0, 197)	0.5425485602227529
  (0, 17)	0.24045432335193695
  (0, 156)	0.27813452817395634"
775,"  (0, 126)	0.3742984574434778
  (0, 80)	0.4307086095279889
  (0, 54)	0.34246715448754517
  (0, 4)	0.28565504890649773
  (0, 63)	0.29868039233130544
  (0, 0)	0.18755615403468445
  (0, 164)	0.26215192625570477
  (0, 197)	0.3351938900332837
  (0, 105)	0.21563576304473717
  (0, 10)	0.1877979366758646
  (0, 17)	0.29711191192384895"
776,"  (0, 15)	0.4803598768608238
  (0, 3)	0.4871451097819499
  (0, 200)	0.36804066979608124
  (0, 10)	0.48039139926301205
  (0, 119)	0.34265326005794894
  (0, 156)	0.21977930516684907"
777,"  (0, 90)	0.34072755467295013
  (0, 123)	0.36296639490750143
  (0, 32)	0.37089500915332163
  (0, 117)	0.18741145308401091
  (0, 10)	0.49082125312284314
  (0, 120)	0.27971887287128544
  (0, 77)	0.3875874390702893
  (0, 167)	0.1430407723105097
  (0, 156)	0.2994012913579829"
778,"  (0, 35)	0.3706424088852041
  (0, 107)	0.46151362552271014
  (0, 36)	0.4852190334112757
  (0, 4)	0.34860081807194215
  (0, 0)	0.22888525506972396
  (0, 49)	0.3340709889848171
  (0, 89)	0.3587163946323484"
779,"  (0, 94)	0.771347296728832
  (0, 193)	0.3377791558456992
  (0, 52)	0.3004758027403156
  (0, 117)	0.2722338252642136
  (0, 77)	0.28150470375779607
  (0, 156)	0.2174551167875845"
780,"  (0, 24)	0.2348725288751793
  (0, 33)	0.2168203303392482
  (0, 43)	0.2150126528332503
  (0, 127)	0.23349533438705883
  (0, 101)	0.18539023267267773
  (0, 13)	0.19540644992805797
  (0, 142)	0.2168203303392482
  (0, 121)	0.2055105510212171
  (0, 114)	0.15106675156053243
  (0, 134)	0.13415948011901424
  (0, 25)	0.15400164724754797
  (0, 95)	0.2896916286928577
  (0, 49)	0.1492797627479964
  (0, 150)	0.12755124679455418
  (0, 197)	0.18278677248152408
  (0, 137)	0.18494532638525454
  (0, 155)	0.13583883756092344
  (0, 105)	0.1175897482935157
  (0, 79)	0.11721660205481485
  (0, 10)	0.20481864225068286
  (0, 89)	0.16029257268720012
  (0, 167)	0.0895359051326423
  (0, 17)	0.1620200399266901
  (0, 156)	0.09370463115728486
  (0, 177)	0.19267737509407584
  (0, 75)	0.34546735940078777
  (0, 30)	0.15126992749525406
  (0, 172)	0.14812806723796187
  (0, 130)	0.15046287197828567"
781,"  (0, 168)	0.4720842652053533
  (0, 164)	0.3767013311395838
  (0, 66)	0.3333471347980381
  (0, 167)	0.23593515629037218
  (0, 30)	0.39860985302771557
  (0, 172)	0.3903307689022065
  (0, 130)	0.39648318921336245"
782,"  (0, 179)	0.36351459370472655
  (0, 11)	0.3773839855330793
  (0, 163)	0.3003612278145856
  (0, 187)	0.25513116311712797
  (0, 159)	0.31056263870258904
  (0, 200)	0.5072304617191011
  (0, 199)	0.18466293252245233
  (0, 10)	0.16551781586330624
  (0, 77)	0.1960569941586568
  (0, 177)	0.3114124568096058
  (0, 75)	0.13958935122247543"
783,"  (0, 126)	0.4108889309963832
  (0, 168)	0.3606465884733568
  (0, 106)	0.4310702272217064
  (0, 193)	0.29300970425849704
  (0, 26)	0.3878720226631836
  (0, 155)	0.273452369045643
  (0, 105)	0.2367157715989817
  (0, 117)	0.23615179104262135
  (0, 17)	0.16307841169117956
  (0, 156)	0.18863348539047617
  (0, 75)	0.17386203672001924"
784,"  (0, 10)	1.0"
785,"  (0, 132)	0.2983480010473763
  (0, 192)	0.33583456124829597
  (0, 38)	0.3212678961559824
  (0, 109)	0.3083353616479127
  (0, 196)	0.31779185625244777
  (0, 164)	0.21951548913810026
  (0, 88)	0.26167755336860393
  (0, 105)	0.18056472319895028
  (0, 117)	0.18013452375612943
  (0, 79)	0.3599834783474279
  (0, 119)	0.2243326947972603
  (0, 17)	0.12439478817924682
  (0, 81)	0.2268785708812989
  (0, 75)	0.2652408863431308"
786,"  (0, 182)	0.7739115936411199
  (0, 164)	0.5509766415367207
  (0, 17)	0.3122268177283589"
787,"  (0, 148)	0.5729175573823103
  (0, 55)	0.5970617861352512
  (0, 28)	0.40466773404754336
  (0, 199)	0.3105277024452649
  (0, 75)	0.23473233057029536"
788,"  (0, 85)	0.5976276773369886
  (0, 168)	0.48517050851967247
